A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
196	Rn     	86 	110	0.0000  	0+            	1.971               	14        	4.4 MS +13-9             	0.0044                   	          	        	EC      	~ 0.10      
196	Rn     	86 	110	0.0000  	0+            	1.971               	14        	4.4 MS +13-9             	0.0044                   	          	        	A       	99.90       
197	Rn     	86 	111	0.0000  	(3/2-)        	1.510               	16        	54 MS +7-5               	0.054                    	          	        	A       	100.00      
197	Rn     	86 	111	0.0000  	(13/2+)       	1.510               	16        	24 MS +3-2               	0.024                    	          	        	A       	100.00      
198	Rn     	86 	112	0.0000  	0+            	-1.230              	13        	65 MS 3                  	0.065                    	          	        	EC      	            
198	Rn     	86 	112	0.0000  	0+            	-1.230              	13        	65 MS 3                  	0.065                    	          	        	A       	            
199	Rn     	86 	113	0.0000  	(3/2-)        	-1.50               	4         	0.59 S 3                 	0.59                     	          	        	A       	94.00       
199	Rn     	86 	113	0.0000  	(3/2-)        	-1.50               	4         	0.59 S 3                 	0.59                     	          	        	EC      	6.00        
199	Rn     	86 	113	0.1800  	(13/2+)       	-1.32               	4         	0.31 S 2                 	0.31                     	          	        	A       	97.00       
199	Rn     	86 	113	0.1800  	(13/2+)       	-1.32               	4         	0.31 S 2                 	0.31                     	          	        	EC      	3.00        
200	Rn     	86 	114	0.0000  	0+            	-4.005              	14        	1.03 S +20-11            	1.03                     	          	        	A       	86.00       
200	Rn     	86 	114	0.0000  	0+            	-4.005              	14        	1.03 S +20-11            	1.03                     	          	        	EC      	14.00       
201	Rn     	86 	115	0.0000  	(3/2-)        	-4.07               	5         	7.0 S 4                  	7                        	          	        	A       	            
201	Rn     	86 	115	0.0000  	(3/2-)        	-4.07               	5         	7.0 S 4                  	7                        	          	        	EC      	            
201	Rn     	86 	115	0.0000  	(13/2+)       	-4.07               	5         	3.8 S 1                  	3.8                      	          	        	A       	            
201	Rn     	86 	115	0.0000  	(13/2+)       	-4.07               	5         	3.8 S 1                  	3.8                      	          	        	EC      	            
202	Rn     	86 	116	0.0000  	0+            	-6.275              	18        	9.7 S 1                  	9.7                      	          	        	A       	78.00       
202	Rn     	86 	116	0.0000  	0+            	-6.275              	18        	9.7 S 1                  	9.7                      	          	        	EC      	22.00       
203	Rn     	86 	117	0.0000  	(3/2-)        	-6.154              	18        	44 S 2                   	44                       	          	        	EC      	34.00       
203	Rn     	86 	117	0.0000  	(3/2-)        	-6.154              	18        	44 S 2                   	44                       	          	        	A       	66.00       
203	Rn     	86 	117	0.3620  	(13/2+)       	-5.792              	18        	26.9 S 5                 	26.9                     	          	        	A       	75.00       
203	Rn     	86 	117	0.3620  	(13/2+)       	-5.792              	18        	26.9 S 5                 	26.9                     	          	        	EC      	25.00       
204	Rn     	86 	118	0.0000  	0+            	-7.970              	7         	74.5 S 14                	74.5                     	          	        	A       	72.40       
204	Rn     	86 	118	0.0000  	0+            	-7.970              	7         	74.5 S 14                	74.5                     	          	        	EC      	27.60       
205	Rn     	86 	119	0.0000  	5/2-          	-7.710              	5         	170 S 4                  	170                      	          	        	EC      	75.40       
205	Rn     	86 	119	0.0000  	5/2-          	-7.710              	5         	170 S 4                  	170                      	          	        	A       	24.60       
206	Rn     	86 	120	0.0000  	0+            	-9.133              	9         	5.67 M 17                	340.2                    	          	        	A       	62.00       
206	Rn     	86 	120	0.0000  	0+            	-9.133              	9         	5.67 M 17                	340.2                    	          	        	EC      	38.00       
207	Rn     	86 	121	0.0000  	5/2-          	-8.635              	8         	9.25 M 17                	555                      	          	        	EC      	79.00       
207	Rn     	86 	121	0.0000  	5/2-          	-8.635              	8         	9.25 M 17                	555                      	          	        	A       	21.00       
208	Rn     	86 	122	0.0000  	0+            	-9.656              	11        	24.35 M 14               	1461                     	          	        	A       	62.00       
208	Rn     	86 	122	0.0000  	0+            	-9.656              	11        	24.35 M 14               	1461                     	          	        	EC      	38.00       
209	Rn     	86 	123	0.0000  	5/2-          	-8.941              	10        	28.8 M 10                	1728                     	          	        	A       	17.00       
